text,cleaned1,sentiment,emotion
"Bukan pak Tom yang mencari kebenaran tapi kebenaran itu akan datang sendiri bila saatnya tiba, yang sabar pak Tom. Do'a kami menyertaimu.",bukan pak tom yang mencari kebenaran tapi kebenaran itu akan datang sendiri bila saatnya tiba yang sabar pak tom doa kami menyertaimu,positive,happy
"Di duga hukuman 4.5 tahun penjara Terhadap bapak TOM lembong, adalah untuk menghentikan langkahnya dlm berpartisipasi di Pilpres tahun 2029..",di duga hukuman tahun penjara terhadap bapak tom lembong adalah untuk menghentikan langkahnya dalam berpartisipasi di pemilihan presiden tahun,neutral,fear
"ingat Saddam Hussein pak Anis, beliau difitnah barat atas kejahatan massal dinegeranya sendiri, tapi tak terbukti sampai dia udah jadi tulang. Berhadapan dengan orang yang punya kuasa itu bisa jadi risiko yang sangat besar. Bersyukurlah setidaknya tuntutan pidana pak Tom Lembong menjadi 4,5 tahun. Yang penting publik tau siapa yang benar dan tenang aja nama pak Tom ga akan tercoreng.",ingat saddam hussein pak anis beliau difitnah barat atas kejahatan massal dinegeranya sendiri tapi tidak terbukti sampai dia sudah jadi tulang berhadapan dengan orang yang punya kuasa itu bisa jadi risiko yang sangat besar bersyukurlah setidaknya tuntutan pidana pak tom lembong menjadi tahun yang penting publik tahu siapa yang benar dan tenang saja nama pak tom tidak akan tercoreng,positive,anger
Innalilahi wa innailaihi rojiun. Turut berdukacita atas matinya keadilan di negeri ini untuk Tom. Semoga keluarga diberikan Ketabahan oleh TYE. Aamiin 🤲,innalilahi wa innailaihi rojiun turut berdukacita atas matinya keadilan di negeri ini untuk tom semoga keluarga diberikan ketabahan oleh tye amin,positive,sadness
Yang menzalimi pak Tom segera dapat azab yang berlimpah..sampai 7 keturunan,yang menzalimi pak tom segera dapat azab yang berlimpahsampai keturunan,negative,sadness
"Hukum didunia ini bisa kalian permainkan sesuka hati kalian dgn berbuat tdk adil & dzolim terhdp orang yg tdk bersalah tapi ingat hukum Allah tetap ada bwt kalian yg dzolim & itu pasti tdk dpt disogok ataupun dipermainkan, wait & see kuasa Allah itu nyata adanya & smua ada masanya.",hukum di dunia ini bisa kalian permainkan sesuka hati kalian dengan berbuat tidak adil zalim terhdp orang yang tidak bersalah tapi ingat hukum allah tetap ada buat kalian yang zalim itu pasti tidak dapat disogok ataupun dipermainkan tunggu see kuasa allah itu nyata adanya semua ada masanya,negative,anger
"Dua orang yang bersahabat karena disatukan oleh nilai, tujuan dan cita2 yg sama. Indonesia adil makmur sejahtera. Pak Anies & Pak Tom mengajarkan arti pertemanan sejati. Tuhan kuatkan Pak Tom.",dua orang yang bersahabat karena disatukan oleh nilai tujuan dan cita yang sama indonesia adil makmur sejahtera pak anies pak tom mengajarkan arti pertemanan sejati tuhan kuatkan pak tom,positive,happy
"Kedzoliman dipertontonkan, para penegak hukum sdh tak punya nurani, tak punya hati, dan tak takut akan adzab Allah yg sangat pedih, Yaa Allah, capek hati liat kondisi negri ini, yg jelas jelas maling berdiri menari di depan para penguasa negri ini, aaahhh lelaaahhh😥",kedzoliman dipertontonkan para penegak hukum sudah tidak punya nurani tidak punya hati dan tidak takut akan azab allah yang sangat pedih ya allah cape hati lihat kondisi negeri ini yang jelas jelas maling berdiri menari di depan para penguasa negeri ini aaahhh lelaaahhh,negative,anger
Beginilah nasib negeri ini kalau dikuasai IQ 58.,beginilah nasib negeri ini kalau dikuasai intelligence quotient,negative,anger
"Percayalah Allah tidak tidur...
semua ada dalam penglihatanNya.

Bahwa yg berbuat dzolim pada Pak Tom akan mendapatkan balasan berlipat dari Sang Maha Adil.

Betul sepertinya ujian untuk Pak Tom blm selesai, semoga Pak Tom selalu sehat dan kuat dalam memperjuangkan haknya mendapatkan keadilan.",percayalah allah tidak tidur semua ada dalam penglihatannya bahwa yang berbuat zalim pada pak tom akan mendapatkan balasan berlipat dari sang maha adil betul sepertinya ujian untuk pak tom belum selesai semoga pak tom selalu sehat dan kuat dalam memperjuangkan haknya mendapatkan keadilan,positive,happy
